PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0082,04_04059_000394,04_00001,Almería,-2.06839972_ ,37.26095333_ ,4059
TSI-068100-2024-0082,04_04050_000352,04_00002,Almería,-2.54672722_ ,37.22008694_ ,4050
TSI-068100-2024-0082,04_04005_000772,04_00003,Almería,-2.60330556_ ,37.05240278_ ,4005
TSI-068100-2024-0031,04_04086_000578,0000000-0400297,Almería,-2.00611301_ ,37.05383173_ ,4086
TSI-068100-2024-0031,04_04093_000614,0000000-0400156,Almería,-1.91806640_ ,37.11388689_ ,4093
TSI-068100-2024-0031,04_04050_000351,0000000-0400682,Almería,-2.61883434_ ,37.14540673_ ,4050
TSI-068100-2024-0031,04_04065_000431,0000000-0400070,Almería,-2.62029556_ ,37.11213107_ ,4065
TSI-068100-2024-0042,05_05207_000287,0000000-0500227,Ávila,-4.97955256_ ,40.27571939_ ,5207
TSI-068100-2024-0042,05_05211_000288,0000000-0500479,Ávila,-4.68258739_ ,40.47939276_ ,5211
TSI-068100-2024-0042,05_05152_000284,0000000-0500494,Ávila,-4.79193418_ ,40.97448613_ ,5152
TSI-068100-2024-0042,05_05037_000275,0000000-0500470,Ávila,-5.44259098_ ,40.31140287_ ,5037
TSI-068100-2024-0042,05_05213_000289,0000000-0500501,Ávila,-5.04811807_ ,40.65249901_ ,5213
TSI-068100-2024-0042,05_05072_000098,0000000-0500066,Ávila,-4.66595573_ ,41.01190237_ ,5072
TSI-068100-2024-0042,05_05055_000277,0000000-0500270,Ávila,-4.57328592_ ,40.32658792_ ,5055
TSI-068100-2024-0042,05_05107_000134,0000000-0500007,Ávila,-5.07812464_ ,40.69403833_ ,5107
TSI-068100-2024-0042,05_05017_000018,0000000-0500020,Ávila,-4.85200988_ ,40.78667978_ ,5017
TSI-068100-2024-0042,05_05904_000240,0000000-0500010,Ávila,-5.35371204_ ,40.35264750_ ,5904
TSI-068100-2024-0042,05_05074_000104,0000000-0500051,Ávila,-4.94534776_ ,40.93008644_ ,5074
TSI-068100-2024-0042,05_05097_000125,0000000-0500196,Ávila,-5.49305930_ ,40.41617685_ ,5097
TSI-068100-2024-0042,40_40115_000134,0000000-4000013,Ávila,-4.55733015_ ,40.85693694_ ,5115
TSI-068100-2024-0042,05_05014_000010,0000000-0500017,Ávila,-5.08319685_ ,40.20950689_ ,5014
TSI-068100-2024-0042,05_05167_000183,0000000-0500012,Ávila,-4.88475729_ ,40.34815481_ ,5167
TSI-068100-2024-0042,05_05022_000062,0000000-0500050,Ávila,-4.55430629_ ,40.43909254_ ,5022
TSI-068100-2024-0042,05_05089_000111,0000000-0500083,Ávila,-5.12299341_ ,40.21703525_ ,5089
TSI-068100-2024-0042,05_05173_000190,0000000-0500022,Ávila,-4.53050580_ ,40.72277822_ ,5173
TSI-068100-2024-0042,05_05905_000259,0000000-0500302,Ávila,-4.82920536_ ,40.37858582_ ,5905
TSI-068100-2024-0042,05_05152_000170,0000000-0500043,Ávila,-4.76116054_ ,40.95871963_ ,5152
TSI-068100-2024-0042,05_05002_000006,0000000-0500038,Ávila,-4.62852859_ ,40.29879707_ ,5002
TSI-068100-2024-0042,05_05204_000232,0000000-0500067,Ávila,-4.57783173_ ,40.89193336_ ,5204
TSI-068100-2024-0042,05_05102_000129,0000000-0500268,Ávila,-4.43517257_ ,40.49984687_ ,5102
TSI-068100-2024-0042,05_05189_000206,0000000-0500097,Ávila,-5.15162014_ ,40.17695044_ ,5189
TSI-068100-2024-0042,05_05127_000282,0000000-0500061,Ávila,-4.84537759_ ,40.29950436_ ,5127
TSI-068100-2024-0042,05_05122_000147,0000000-0500092,Ávila,-5.34482138_ ,40.62737815_ ,5122
TSI-068100-2024-0042,05_05005_000272,0000000-0500468,Ávila,-4.88032923_ ,40.84735765_ ,5005
TSI-068100-2024-0042,05_05042_000076,0000000-0500144,Ávila,-4.83952412_ ,40.94248886_ ,5042
TSI-068100-2024-0042,05_05144_000166,0000000-0500206,Ávila,-5.42988781_ ,40.57790540_ ,5144
TSI-068100-2024-0042,05_05097_000124,0000000-0500052,Ávila,-5.46243927_ ,40.43227281_ ,5097
